277542000	2025-09-09 17:49:24+02	0101000020E61000007C2C7DE8821E354072A3C85A43DB4B40	0	353.3	66	15	119743	2026-03-03 15:06:09.461848+01
277078000	2025-09-09 17:49:49+02	0101000020E6100000948444DAC61F35402AC76471FFD94B40	0	\N	\N	5	119745	2026-03-03 15:06:09.574074+01
277541000	2025-09-09 17:50:34+02	0101000020E6100000BA9EE8BAF01F35401618B2BAD5D94B40	0	293	139	0	119753	2026-03-03 15:06:10.070132+01
277199560	2025-09-09 17:50:36+02	0101000020E6100000215B96AFCB203540E23C9CC074DA4B40	0.2	\N	\N	\N	119754	2026-03-03 15:06:10.124807+01
273437230	2025-09-10 01:57:09+02	0101000020E610000000000000006066C00000000000405640	102.3	\N	45	5	115779	2026-03-03 15:02:00.948552+01
277459000	2025-09-09 17:50:47+02	0101000020E6100000105A0F5F2626354008CA6DFB1ED54B40	0	351.7	\N	1	119757	2026-03-03 15:06:10.282462+01
277370000	2025-09-10 07:26:04+02	0101000020E610000014200A664C253540D044D8F0F4D44B40	7.4	325.8	\N	5	119523	2026-03-03 15:05:55.834075+01
277201450	2025-09-10 07:28:46+02	0101000020E61000001893FE5E0A1F354053CBD6FA22D94B40	0.1	\N	\N	\N	119541	2026-03-03 15:05:57.009653+01
314194000	2025-09-10 23:54:57+02	0101000020E6100000EBAA402D06DF3440B42094F771DE4B40	9	266.2	266	0	119559	2026-03-03 15:05:58.188594+01
211694700	2025-09-10 23:55:54+02	0101000020E61000007F6C921FF1E334409015FC36C4D44B40	5.9	235	234	\N	119568	2026-03-03 15:05:58.730571+01
277177950	2025-09-08 15:11:10+02	0101000020E6100000899B53C900203540FDC1C073EFD94B40	0.9	203.3	\N	\N	117733	2026-03-03 15:04:04.182162+01
277523000	2025-09-10 23:57:47+02	0101000020E6100000F9DC09F65F273540D89E5912A0D44B40	0.1	359.8	335	5	119583	2026-03-03 15:05:59.799485+01
277202090	2025-09-09 13:39:45+02	0101000020E61000000F289B72851F3540BB6070CD1DD94B40	8.5	158.2	\N	\N	113389	2026-03-03 14:59:25.202111+01
305458000	2025-09-10 23:58:26+02	0101000020E610000000C8091346DB34400DFCA886FDDC4B40	0	182.4	139	1	119588	2026-03-03 15:06:00.066289+01
265059000	2025-09-10 22:35:20+02	0101000020E61000005917B7D1001A3540828B153598DC4B40	0	80.8	308	5	119597	2026-03-03 15:06:00.713286+01
256882000	2025-09-10 22:35:33+02	0101000020E6100000A4FACE2F4A283540AC5791D101D34B40	0	324.6	325	5	119599	2026-03-03 15:06:00.815705+01
341333002	2025-09-10 22:36:42+02	0101000020E61000007C5F5CAAD21E35401590F63FC0DA4B40	0	216.6	328	3	119607	2026-03-03 15:06:01.243223+01
277425000	2025-09-10 22:36:48+02	0101000020E610000003098A1F631E3540EB6F09C03FDB4B40	0	15	67	5	119609	2026-03-03 15:06:01.349113+01
538008902	2025-09-10 22:37:55+02	0101000020E61000003F1A4E999B1B3540D99942E735DC4B40	0	64.4	133	5	119617	2026-03-03 15:06:01.939133+01
277552000	2025-09-10 22:38:32+02	0101000020E6100000745C8DEC4A273540E2CD1ABCAFD44B40	0	304.2	156	0	119618	2026-03-03 15:06:01.990425+01
2210	2025-09-10 22:39:15+02	0101000020E610000000000000006066C00000000000405640	1023	\N	\N	\N	119622	2026-03-03 15:06:02.206016+01
2770090	2025-09-10 01:34:46+02	0101000020E610000016325706D5FE3440C959D8D30EA74B40	\N	\N	\N	\N	119631	2026-03-03 15:06:02.739363+01
277006000	2025-09-10 01:35:22+02	0101000020E61000002C0E677E352735404548DDCEBED44B40	0	318.5	\N	15	119635	2026-03-03 15:06:03.058387+01
277202030	2025-09-10 01:37:02+02	0101000020E6100000D311C0CDE221354095D8B5BDDDD44B40	3.7	5.5	\N	0	119646	2026-03-03 15:06:03.711617+01
211188000	2025-09-10 01:37:21+02	0101000020E610000000000000006066C00000000000405640	102.3	\N	\N	0	119650	2026-03-03 15:06:03.929594+01
211379450	2025-09-09 16:28:07+02	0101000020E6100000AB5D13D21A1F3540D7DD3CD521D94B40	0	348	\N	\N	91935	2026-03-03 14:36:45.337223+01
636022714	2025-09-09 15:11:35+02	0101000020E61000000B613596B01A3540A6B915C26ADC4B40	0	\N	309	5	119659	2026-03-03 15:06:04.522551+01
277199900	2025-09-09 15:12:25+02	0101000020E61000003BAA9A20EA1E3540FC51D4997BDA4B40	0.3	280.7	\N	\N	119666	2026-03-03 15:06:04.905258+01
277358000	2025-09-09 15:12:53+02	0101000020E610000040F850A22523354017D4B7CCE9D64B40	7	167.2	\N	\N	119670	2026-03-03 15:06:05.116808+01
244750348	2025-09-09 15:13:03+02	0101000020E6100000991249F4321E35402FC4EA8F30DA4B40	4.1	161.8	\N	0	119672	2026-03-03 15:06:05.217979+01
354641000	2025-09-09 15:13:29+02	0101000020E6100000D7BE805EB8233540848252B472D74B40	0	210	280	5	119676	2026-03-03 15:06:05.435907+01
277587000	2025-09-09 15:13:49+02	0101000020E6100000F2608BDD3E233540C5FEB27BF2D44B40	0	202.6	0	5	119677	2026-03-03 15:06:05.492063+01
305943000	2025-09-09 15:14:06+02	0101000020E6100000EA758BC058273540569929ADBFD34B40	7.5	156.1	155	0	119680	2026-03-03 15:06:05.657025+01
111277501	2025-09-09 15:14:07+02	0101000020E6100000E8853B17464A3540DC645419C6054C40	107	7.7	\N	\N	119681	2026-03-03 15:06:05.712181+01
277314000	2025-09-09 15:14:07+02	0101000020E6100000035E66D82827354006465ED6C4D44B40	0.1	312.5	\N	0	119683	2026-03-03 15:06:05.816011+01
538008523	2025-09-09 15:15:03+02	0101000020E610000010B1C1C249DA3440AC915D6919E34B40	0.4	79.8	132	0	119691	2026-03-03 15:06:06.246062+01
311000556	2025-09-09 15:15:27+02	0101000020E610000090C01F7EFE1B35404E0B5EF415DC4B40	0	139	314	5	119693	2026-03-03 15:06:06.407569+01
